created_at,text
Tue Sep 25 10:53:41 +0000 2018,"Despite requests, I have no plans to meet Iranian President Hassan Rouhani. Maybe someday in the future. I am sure… https://t.co/SpuT7bsm9W"
Tue Sep 25 10:41:20 +0000 2018,Republican Party Favorability is the highest it has been in 7 years - 3 points higher than Democrats!  Gallup
Tue Sep 25 02:50:09 +0000 2018,"The Democrats are working hard to destroy a wonderful man, and a man who has the potential to be one of our greates… https://t.co/t6nJYLOXbG"
Tue Sep 25 02:38:39 +0000 2018,REMEMBER THE MIDTERMS!
Tue Sep 25 00:22:46 +0000 2018,https://t.co/FXqSWusSTV
Mon Sep 24 23:41:37 +0000 2018,"It was my great honor to welcome President @EmmanuelMacron of France to the United States, here in New York City, t… https://t.co/BM0YaCyJrj"
Mon Sep 24 22:33:39 +0000 2018,"It was my great honor to welcome President @AlsisiOfficial of Egypt to the United States this afternoon, in New Yor… https://t.co/cOymp5g6dP"
Mon Sep 24 21:46:22 +0000 2018,Joint Statement on the United States-Korea Free Trade Agreement: https://t.co/m0jW8nqdQW https://t.co/lcrhsJtv00
Mon Sep 24 21:33:33 +0000 2018,"Brett Kavanaugh and his wife, Ashley, will be interviewed tonight at 7pmE on @marthamaccallum @FoxNews. This is an… https://t.co/MKApmaY60q"
Mon Sep 24 20:44:24 +0000 2018,US-Korea Free Trade Agreement Signing Ceremony! https://t.co/yLFkAZgagG
Mon Sep 24 20:42:22 +0000 2018,"It was my great honor to welcome and meet with President @moonriver365 Jae-in of South Korea today, in New York Cit… https://t.co/ITcUEdp62W"
Mon Sep 24 16:55:18 +0000 2018,"Today, we commit to fighting the drug epidemic together! #UNGA https://t.co/XgaYTOBrSK"
Mon Sep 24 14:17:26 +0000 2018,"“Remarks by President Trump at ‘Global Call to Action on the World Drug Problem’ Event” #UNGA
➡️… https://t.co/scC5YuC5SD"
Mon Sep 24 14:13:22 +0000 2018,"RT @SCEMD: Now is the time to put safety first above everything else. Evacuate to a shelter if you need to, take your pets with you. Your l…"
Sun Sep 23 22:48:33 +0000 2018,"Prime Minster @AbeShinzo is coming up to Trump Tower for dinner but, most importantly, he just had a great landslid… https://t.co/Q5X8uH6p9M"
